episode,steps,ep_reward,avg_speed,total_energy,wiggle,safety,success,reason
251,1,49.892,3.743,7.073,0.000,0.000,1,goal
252,2,-199.491,12.619,86.752,0.000,0.328,0,collision
253,1,50.294,7.983,44.247,0.000,0.000,1,goal
254,2,50.774,14.851,192.243,0.000,0.000,1,goal
255,1,-200.062,6.749,32.152,0.000,0.000,0,collision
256,4,-197.791,26.602,416.931,0.000,0.202,0,collision
257,3,-198.724,20.288,414.656,0.000,0.066,0,collision
258,2,50.778,13.642,145.816,0.000,0.000,1,goal
259,3,50.761,9.664,219.412,0.006,0.312,1,goal
260,4,51.925,26.893,395.589,0.000,0.000,1,goal
261,1,-200.025,7.059,38.661,0.000,0.092,0,collision
262,2,-199.604,12.705,109.492,0.000,0.010,0,collision
263,2,50.492,12.907,89.465,0.000,0.019,1,goal
264,2,50.268,12.798,78.230,0.000,0.455,1,goal
265,4,51.759,26.544,402.246,0.000,0.132,1,goal
266,2,-199.133,14.744,206.790,0.000,0.025,0,collision
267,7,-202.565,9.412,469.542,0.000,0.029,0,collision
268,3,50.907,19.932,329.137,0.000,0.005,1,goal
269,5,-47.405,32.627,455.582,0.000,0.000,1,goal
270,5,-47.663,32.380,452.918,0.000,0.051,1,goal
271,1,50.251,7.081,38.794,0.000,0.000,1,goal
272,2,50.346,13.594,119.406,0.000,0.033,1,goal
273,10,-210.692,5.716,406.959,0.100,0.027,0,collision
274,6,-198.093,15.076,552.225,0.000,0.010,0,collision
275,7,-196.787,22.475,615.030,0.000,0.151,0,collision
276,4,-198.272,25.891,410.740,0.000,0.143,0,collision
277,1,50.162,7.198,39.502,0.000,0.000,1,goal
278,3,-198.812,20.513,341.788,0.000,0.018,0,collision
279,4,51.906,27.117,404.849,0.000,0.014,1,goal
280,2,50.391,12.024,81.189,0.000,0.010,1,goal
281,8,-201.742,15.926,634.144,0.000,0.003,0,collision
282,3,-199.205,10.318,236.185,0.100,0.083,0,collision
283,2,-199.320,14.579,204.143,0.000,0.000,0,collision
284,1,49.908,4.385,5.650,0.000,0.000,1,goal
285,2,50.764,14.091,180.839,0.000,0.000,1,goal
286,2,-199.584,15.104,212.573,0.000,0.414,0,collision
287,3,51.101,21.034,405.784,0.000,0.157,1,goal
288,6,-196.705,26.868,472.252,0.008,0.154,0,collision
289,2,50.725,14.109,138.258,0.000,0.100,1,goal
290,2,-199.237,14.848,208.460,0.000,0.000,0,collision
291,4,-198.620,16.268,401.541,0.250,0.225,0,collision
292,3,-199.084,19.044,266.221,0.000,0.039,0,collision
293,2,50.427,12.860,99.838,0.000,0.012,1,goal
294,3,-199.121,19.261,249.677,0.000,0.000,0,collision
295,3,-199.006,19.849,327.340,0.000,0.000,0,collision
296,1,49.980,5.743,19.166,0.000,0.000,1,goal
297,2,50.203,4.558,64.174,0.122,0.492,1,goal
298,5,-47.351,32.932,461.870,0.000,0.000,1,goal
299,1,49.922,2.705,1.601,0.000,0.000,1,goal
300,1,49.870,5.723,19.093,0.000,0.000,1,goal
301,1,49.915,5.872,19.643,0.000,0.000,1,goal
302,1,-199.852,7.219,34.621,0.000,0.000,0,collision
303,4,-198.264,25.784,411.961,0.000,0.023,0,collision
304,2,-199.577,12.489,85.540,0.000,0.142,0,collision
305,4,-198.344,25.805,412.502,0.000,0.055,0,collision
306,2,50.531,13.038,113.197,0.000,0.050,1,goal
307,2,50.584,14.039,137.407,0.000,0.081,1,goal
308,1,0.000,0.000,0.000,0.000,0.000,0,not_found
309,2,50.704,14.374,200.872,0.000,0.000,1,goal
310,14,-219.449,2.260,252.264,0.018,0.071,0,collision
311,2,50.605,13.525,158.054,0.000,0.039,1,goal
312,1,-200.113,5.358,17.741,0.000,0.746,0,collision
313,3,-198.849,21.049,401.071,0.000,0.291,0,collision
314,2,50.509,12.673,87.260,0.000,0.018,1,goal
315,1,-199.901,8.607,54.137,0.000,0.872,0,collision
316,2,-199.472,12.434,95.480,0.000,0.469,0,collision
317,2,50.487,14.400,170.272,0.000,0.011,1,goal
318,1,0.000,0.000,0.000,0.000,0.000,0,not_found
319,13,-210.190,5.419,551.632,0.000,0.081,0,collision
320,2,50.352,4.536,63.832,0.451,0.352,1,goal
321,3,51.083,20.533,393.582,0.000,0.000,1,goal
322,5,-47.854,21.884,420.238,0.018,0.000,1,goal
323,4,-198.339,26.385,419.325,0.000,0.248,0,collision
324,6,-199.903,14.229,555.043,0.000,0.033,0,collision
325,4,-198.244,26.800,397.117,0.000,0.094,0,collision
326,2,-199.571,14.078,165.755,0.000,0.037,0,collision
327,1,0.000,0.000,0.000,0.000,0.000,0,not_found
328,4,-198.435,15.609,412.178,0.105,0.233,0,collision
329,1,50.291,7.557,46.951,0.000,0.000,1,goal
330,3,-198.503,20.588,411.761,0.000,0.000,0,collision
331,1,50.306,8.055,44.688,0.000,0.000,1,goal
332,4,-198.355,15.722,415.995,0.147,0.176,0,collision
333,2,-200.079,3.450,47.300,0.283,0.166,0,collision
334,2,50.406,13.934,136.126,0.000,0.003,1,goal
335,2,50.439,4.405,61.819,0.076,0.364,1,goal
336,2,50.509,13.470,118.016,0.000,0.000,1,goal
337,5,-46.727,32.139,471.939,0.000,0.000,1,goal
338,1,50.042,5.662,18.866,0.000,0.000,1,goal
339,12,-59.601,9.409,537.261,0.000,0.000,1,goal
